tenant_id,table_number,capacity,location,is_vip,status,description,qr_token,qr_token_created_at,current_order_id
019bc623-e4a5-735d-9dc7-a9a6b28ee557,VIP-01,10,VIP_Room,true,Occupied,"Phòng VIP 1 - Có điều hòa, TV",,,17579
019bc623-e4a5-735d-9dc7-a9a6b28ee557,VIP-02,9,VIP_Room,true,Occupied,"Phòng VIP 2 - Có điều hòa, TV",,,18523
019bc623-e4a5-735d-9dc7-a9a6b28ee557,VIP-03,7,VIP_Room,true,Occupied,"Phòng VIP 3 - Có điều hòa, TV",,,21318
019bc623-e4a5-735d-9dc7-a9a6b28ee557,VIP-04,7,VIP_Room,true,Occupied,"Phòng VIP 4 - Có điều hòa, TV",,,20017
019bc623-e4a5-735d-9dc7-a9a6b28ee557,VIP-05,9,VIP_Room,true,Occupied,"Phòng VIP 5 - Có điều hòa, TV",,,14583
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-06,6,Indoor,false,Occupied,,,,13446
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-07,3,Indoor,false,Occupied,,,,14538
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-08,3,Indoor,false,Occupied,,,,13184
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-09,2,Indoor,false,Occupied,,,,13924
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-10,2,Indoor,false,Occupied,,,,21152
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-11,5,Indoor,false,Occupied,,,,13459
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-12,5,Indoor,false,Occupied,,,,18121
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-13,5,Indoor,false,Occupied,,,,18863
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-14,6,Indoor,false,Occupied,,,,20090
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-15,5,Indoor,false,Occupied,,,,14026
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-16,6,Indoor,false,Occupied,,,,21317
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-17,5,Indoor,false,Occupied,,,,11245
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-18,4,Indoor,false,Occupied,,,,18908
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-19,2,Indoor,false,Occupied,,,,14532
019bc623-e4a5-735d-9dc7-a9a6b28ee557,IN-20,4,Indoor,false,Occupied,,,,13248
019bc623-e4a5-735d-9dc7-a9a6b28ee557,OUT-21,3,Outdoor,false,Occupied,Bàn sân vườn 1,,,11719
019bc623-e4a5-735d-9dc7-a9a6b28ee557,OUT-22,3,Outdoor,false,Occupied,Bàn sân vườn 2,,,18973
019bc623-e4a5-735d-9dc7-a9a6b28ee557,OUT-23,2,Outdoor,false,Occupied,Bàn sân vườn 3,,,15396
019bc623-e4a5-735d-9dc7-a9a6b28ee557,OUT-24,4,Outdoor,false,Occupied,Bàn sân vườn 4,,,18143
019bc623-e4a5-735d-9dc7-a9a6b28ee557,OUT-25,4,Outdoor,false,Occupied,Bàn sân vườn 5,,,14186
019bc623-e4a5-735d-9dc7-a9a6b28ee557,PT-26,6,Patio,false,Occupied,,,,16915
019bc623-e4a5-735d-9dc7-a9a6b28ee557,PT-27,4,Patio,false,Occupied,,,,19419
019bc623-e4a5-735d-9dc7-a9a6b28ee557,PT-28,6,Patio,false,Occupied,,,,18728
019bc623-e4a5-735d-9dc7-a9a6b28ee557,PT-29,6,Patio,false,Occupied,,,,11940
019bc623-e4a5-735d-9dc7-a9a6b28ee557,PT-30,4,Patio,false,Occupied,,,,18587
